MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		T cell receptor signaling pathway	happens in T cell		IDA		J:98326 	
MGI:88333	Cd3g	CD3 antigen, gamma polypeptide	9		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88335	Cd4	CD4 antigen	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88335	Cd4	CD4 antigen	6		helper T cell enhancement of adaptive immune response			IMP		J:68957 	
MGI:88335	Cd4	CD4 antigen	6		immune response			IEA	IPR000973 	J:72247 	
MGI:1334419	Cd5l	CD5 antigen-like	3		regulation of complement activation			IMP	MGI:2653296 	J:218542 	
MGI:103566	Cd6	CD6 antigen	19		acute inflammatory response to antigenic stimulus			ISO	P30203 	J:164563 	
MGI:88344	Cd7	CD7 antigen	11		adaptive immune response			IEA	IPR039090 	J:72247 	
MGI:88344	Cd7	CD7 antigen	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		T cell mediated immunity			IBA	PTN000047644 	J:265628 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		T cell mediated immunity	has the participant T cell		IMP	MGI:1857149 	J:68956 	
MGI:88347	Cd8b1	CD8 antigen, beta chain 1	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88318	Cd14	CD14 antigen	18		innate immune response			IEA	KW-0399 	J:60000 	
MGI:88318	Cd14	CD14 antigen	18		toll-like receptor 4 signaling pathway			IBA	PTN001636475 	J:265628 	
MGI:88318	Cd14	CD14 antigen	18		toll-like receptor 4 signaling pathway			IMP		J:222669 	
MGI:88319	Cd19	CD19 antigen	7		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88319	Cd19	CD19 antigen	7		antigen receptor-mediated signaling pathway			ISO	P15391 	J:164563 	
MGI:88319	Cd19	CD19 antigen	7		B cell mediated immunity			IMP		J:27463 	
MGI:88319	Cd19	CD19 antigen	7		B cell proliferation involved in immune response			ISO	P15391 	J:164563 	
MGI:88319	Cd19	CD19 antigen	7		B cell receptor signaling pathway			IBA	PTN001819139 	J:265628 	
MGI:88319	Cd19	CD19 antigen	7		B cell receptor signaling pathway	happens in B cell		IDA		J:42368 	
MGI:88319	Cd19	CD19 antigen	7		B cell receptor signaling pathway			IMP		J:195115 	
MGI:88319	Cd19	CD19 antigen	7		immunoglobulin mediated immune response			ISO	P15391 	J:164563 	
MGI:88319	Cd19	CD19 antigen	7		regulation of B cell receptor signaling pathway			IMP		J:44404 	
MGI:88319	Cd19	CD19 antigen	7		regulation of B cell receptor signaling pathway			ISO	P15391 	J:164563 	
MGI:88322	Cd22	CD22 antigen	7		negative regulation of B cell receptor signaling pathway			ISO	P20273 	J:164563 	
MGI:88322	Cd22	CD22 antigen	7		regulation of immune response	happens at the same time as aging		IGI	Q80ZE3 	J:160078 	
MGI:88323	Cd24a	CD24a antigen	10		innate immune response			IEA	KW-0399 	J:60000 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of inflammatory response to antigenic stimulus			IMP	MGI:2179996 	J:93933 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of inflammatory response to antigenic stimulus	regulates a function/process that has the participant spinal cord		IMP	MGI:2179996 	J:120498 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of T cell mediated immune response to tumor cell			IDA		J:25743 	
MGI:88327	Cd28	CD28 antigen	1		immune response			IEA	IPR008093 	J:72247 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of inflammatory response to antigenic stimulus	regulates a function/process that has the participant spinal cord		IMP	MGI:1857150 	J:120498 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of isotype switching to IgG isotypes			IMP	MGI:1857150 	J:14194 	
MGI:88327	Cd28	CD28 antigen	1		T cell receptor signaling pathway			IBA	PTN002608477 	J:265628 	
MGI:88327	Cd28	CD28 antigen	1		T cell receptor signaling pathway			IMP	MGI:1857150 	J:205441 	
MGI:107899	Cd36	CD36 molecule	5		immune response			IEA	IPR033076 	J:72247 	
MGI:107899	Cd36	CD36 molecule	5		positive regulation of macrophage cytokine production	regulates a function/process caused by the action of peritoneal macrophage		IMP	MGI:2447190 	J:100140 	
MGI:107899	Cd36	CD36 molecule	5		regulation of toll-like receptor signaling pathway			ISO	P16671 	J:164563 	
MGI:88330	Cd37	CD37 antigen	7		regulation of humoral immune response			IMP	MGI:2386160 	J:63315 J:163829 	
MGI:107474	Cd38	CD38 antigen	5		B cell receptor signaling pathway			ISO	P28907 	J:164563 	
MGI:88336	Cd40	CD40 antigen	2		immune response-regulating cell surface receptor signaling pathway	happens in myeloid dendritic cell		IDA		J:91939 	
MGI:88336	Cd40	CD40 antigen	2		positive regulation of isotype switching to IgG isotypes			IDA		J:84929 	
MGI:88336	Cd40	CD40 antigen	2		regulation of immune response			IDA		J:84929 	
MGI:88337	Cd40lg	CD40 ligand	X		immune response			IEA	IPR003263 IPR006052 	J:72247 	
MGI:88337	Cd40lg	CD40 ligand	X		isotype switching			IDA		J:113688 	
MGI:88337	Cd40lg	CD40 ligand	X		positive regulation of immune response to tumor cell			ISO	RGD:708418 	J:155856 	
MGI:88338	Cd44	CD44 antigen	2		positive regulation of adaptive immune response			NAS		J:131317 	
MGI:1203290	Cd46	CD46 antigen, complement regulatory protein	1		negative regulation of complement activation			ISO	RGD:3061 	J:155856 	
MGI:1203290	Cd46	CD46 antigen, complement regulatory protein	1		positive regulation of memory T cell differentiation			ISO	P15529 	J:164563 	
MGI:1203290	Cd46	CD46 antigen, complement regulatory protein	1		T cell mediated immunity			ISO	P15529 	J:164563 	
MGI:96617	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	16		cellular response to interferon-gamma			ISO	RGD:2308 	J:155856 	
MGI:96617	Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	16		negative regulation of Fc-gamma receptor signaling pathway involved in phagocytosis			ISO	RGD:2308 	J:155856 	
MGI:88339	Cd48	CD48 antigen	1		regulation of adaptive immune response			IEA	IPR033548 	J:72247 	
MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	1		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	1		regulation of complement activation			ISO	P08174 	J:218542 	
MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	1		regulation of complement activation, classical pathway			IMP	MGI:2387405 	J:52968 	
MGI:104849	Cd55b	CD55 molecule, decay accelerating factor for complement B	1		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:104849	Cd55b	CD55 molecule, decay accelerating factor for complement B	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:109177	Cd59a	CD59a antigen	2		negative regulation of activation of membrane attack complex			IBA	PTN000004112 	J:265628 	
MGI:109177	Cd59a	CD59a antigen	2		negative regulation of activation of membrane attack complex			IDA		J:70846 	
MGI:109177	Cd59a	CD59a antigen	2		negative regulation of activation of membrane attack complex			IMP		J:143638 	
MGI:109177	Cd59a	CD59a antigen	2		negative regulation of complement activation			IDA		J:143638 	
MGI:109177	Cd59a	CD59a antigen	2		regulation of complement activation			ISO	P13987 	J:218542 	
MGI:1888996	Cd59b	CD59b antigen	2		negative regulation of activation of membrane attack complex			IBA	PTN000004112 	J:265628 	
MGI:1888996	Cd59b	CD59b antigen	2		negative regulation of activation of membrane attack complex			IDA		J:64057 J:70846 	
MGI:1888996	Cd59b	CD59b antigen	2		negative regulation of activation of membrane attack complex			ISO	RGD:2311 	J:155856 	
MGI:1888996	Cd59b	CD59b antigen	2		negative regulation of complement activation			IDA		J:64057 	
MGI:88342	Cd68	CD68 antigen	11		inflammatory response to antigenic stimulus	happens in microglial cell		IDA		J:269541 	
MGI:1195273	Cd70	CD70 antigen	17		B cell mediated immunity			ISO	P32970 	J:164563 	
MGI:1195273	Cd70	CD70 antigen	17		immune response			IEA	IPR006052 	J:72247 	
MGI:1195273	Cd70	CD70 antigen	17		T cell mediated immunity			ISO	P32970 	J:164563 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		immune response			IEA	IPR015386 	J:72247 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		immunoglobulin mediated immune response			IMP	MGI:1927205 	J:4119 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		positive regulation of adaptive immune response			NAS		J:131317 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		positive regulation of innate immune response			IC	GO:0090023 	J:169979 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		positive regulation of macrophage cytokine production			IDA		J:169979 	
MGI:96534	Cd74	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)	18		positive regulation of type 2 immune response			IMP		J:74460 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell receptor signaling pathway			IBA	PTN000371571 	J:265628 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell receptor signaling pathway			IDA		J:94881 	
MGI:101774	Cd79a	CD79A antigen (immunoglobulin-associated alpha)	7		B cell receptor signaling pathway	happens in B cell		IDA		J:31951 	
MGI:96431	Cd79b	CD79B antigen	11		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:96431	Cd79b	CD79B antigen	11		B cell receptor signaling pathway			IBA	PTN000371571 	J:265628 	
MGI:96431	Cd79b	CD79B antigen	11		B cell receptor signaling pathway			IDA		J:94881 	
MGI:96431	Cd79b	CD79B antigen	11		B cell receptor signaling pathway	happens in B cell		IDA		J:31951 	
MGI:101775	Cd80	CD80 antigen	16		immune response			IBA	PTN002402215 	J:265628 	
MGI:1096398	Cd81	CD81 antigen	7		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1096398	Cd81	CD81 antigen	7		humoral immune response mediated by circulating immunoglobulin			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of adaptive immune memory response			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of B cell receptor signaling pathway			IMP		J:195115 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of B cell receptor signaling pathway			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of inflammatory response to antigenic stimulus			IMP		J:65423 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell			IMP		J:65423 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of T cell receptor signaling pathway			ISO	P60033 	J:164563 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of T-helper 2 cell cytokine production			IMP		J:65423 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of T-helper 2 cell cytokine production			ISO	P60033 	J:164563 	
MGI:1336885	Cd84	CD84 antigen	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1336885	Cd84	CD84 antigen	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1336885	Cd84	CD84 antigen	1		negative regulation of mast cell degranulation			ISO	Q9UIB8 	J:164563 	
MGI:101773	Cd86	CD86 antigen	16		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:101773	Cd86	CD86 antigen	16		immune response			IBA	PTN002402215 	J:265628 	
MGI:101773	Cd86	CD86 antigen	16		toll-like receptor 3 signaling pathway	happens in microglial cell		IMP		J:222664 	
MGI:101773	Cd86	CD86 antigen	16		toll-like receptor signaling pathway			IDA		J:152781 	
MGI:1934368	Cd96	CD96 antigen	16		negative regulation of natural killer cell cytokine production	regulates a function/process that generates Ifng		IMP	MGI:5617136 	J:209990 	
MGI:1860383	Cd160	CD160 antigen	3		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1860383	Cd160	CD160 antigen	3		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1860383	Cd160	CD160 antigen	3		mucosal immune response			IDA		J:186687 	
MGI:1860383	Cd160	CD160 antigen	3		negative regulation of adaptive immune memory response			ISO	O95971 	J:164563 	
MGI:1860383	Cd160	CD160 antigen	3		negative regulation of T cell receptor signaling pathway			ISO	O95971 	J:164563 	
MGI:1860383	Cd160	CD160 antigen	3		positive regulation of natural killer cell cytokine production			ISO	O95971 	J:164563 	
MGI:1860383	Cd160	CD160 antigen	3		positive regulation of natural killer cell degranulation			ISO	O95971 	J:164563 	
MGI:1860383	Cd160	CD160 antigen	3		positive regulation of natural killer cell mediated cytotoxicity			ISO	O95971 	J:164563 	
MGI:1860383	Cd160	CD160 antigen	3		positive regulation of natural killer cell mediated immune response to tumor cell			IMP		J:222131 	
MGI:1916141	Cd177	CD177 antigen	7		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1916141	Cd177	CD177 antigen	7		positive regulation of neutrophil degranulation			ISO	Q8N6Q3 	J:164563 	
MGI:1194924	Cd180	CD180 antigen	13		B cell proliferation involved in immune response			IBA	PTN001223121 	J:265628 	
MGI:1194924	Cd180	CD180 antigen	13		B cell proliferation involved in immune response	affects a population of B cell		IMP	MGI:3581654 	J:63145 	
MGI:1194924	Cd180	CD180 antigen	13		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1196990	Cd200	CD200 antigen	16		regulation of immune response			IEA	IPR033321 	J:72247 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of Fc receptor mediated stimulatory signaling pathway			IBA	PTN002931336 	J:265628 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of Fc receptor mediated stimulatory signaling pathway			ISO	Q15762 	J:164563 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of immunoglobulin mediated immune response			IBA	PTN002931336 	J:265628 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of immunoglobulin mediated immune response			ISO	Q15762 	J:164563 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of natural killer cell cytokine production			IBA	PTN002931336 	J:265628 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of natural killer cell cytokine production	regulates a function/process that generates Ifng		IMP	MGI:4454325 	J:209990 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of natural killer cell mediated cytotoxicity			ISO	Q15762 	J:164563 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target			IBA	PTN002931336 	J:265628 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of natural killer cell mediated cytotoxicity directed against tumor cell target			ISO	Q15762 	J:164563 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of T cell receptor signaling pathway			IBA	PTN002931336 	J:265628 	
MGI:3039602	Cd226	CD226 antigen	18		positive regulation of T cell receptor signaling pathway			ISO	Q15762 	J:164563 	
MGI:109294	Cd244a	CD244 molecule A	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:109294	Cd244a	CD244 molecule A	1		immune response			IEA	IPR024304 	J:72247 	
MGI:109294	Cd244a	CD244 molecule A	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:109294	Cd244a	CD244 molecule A	1		natural killer cell activation involved in immune response			IMP		J:131269 	
MGI:109294	Cd244a	CD244 molecule A	1		natural killer cell activation involved in immune response			ISO	Q9BZW8 	J:164563 	
MGI:88334	Cd247	CD247 antigen	1		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:88334	Cd247	CD247 antigen	1		T cell receptor signaling pathway			IBA	PTN000798857 	J:265628 	
MGI:88334	Cd247	CD247 antigen	1		T cell receptor signaling pathway	happens in thymocyte		IDA		J:110739 	
MGI:1926446	Cd274	CD274 antigen	19		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1926446	Cd274	CD274 antigen	19		immune response			IBA	PTN002402215 	J:265628 	
MGI:1926446	Cd274	CD274 antigen	19		immune response			ISO	Q9NZQ7 	J:164563 	
MGI:1926446	Cd274	CD274 antigen	19		positive regulation of tolerance induction to tumor cell			ISO	Q9NZQ7 	J:164563 	
MGI:2183926	Cd276	CD276 antigen	9		regulation of immune response			IBA	PTN000645940 	J:265628 	
MGI:2183926	Cd276	CD276 antigen	9		regulation of immune response			IMP	MGI:3033707 	J:84973 	
MGI:2183926	Cd276	CD276 antigen	9		T cell receptor signaling pathway			IBA	PTN000645940 	J:265628 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of B cell receptor signaling pathway			ISO	Q9UGN4 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of mast cell activation involved in immune response			ISO	Q9UGN4 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of mast cell degranulation	regulates a function/process that happens in mast cell		IDA		J:124243 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of mast cell degranulation			ISO	Q9UGN4 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		negative regulation of MyD88-dependent toll-like receptor signaling pathway			ISO	Q9UGN4 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		regulation of T cell receptor signaling pathway			ISO	Q9UGN4 	J:164563 	
MGI:2443411	Cd300a	CD300A molecule	11		serotonin secretion by mast cell	happens in mast cell		IDA		J:124243 	
MGI:2687214	Cd300ld3	CD300 molecule like family member D3	11		positive regulation of toll-like receptor 9 signaling pathway	regulates a function/process that happens in peritoneal macrophage		IDA		J:179457 	
MGI:2687214	Cd300ld3	CD300 molecule like family member D3	11		positive regulation of toll-like receptor 9 signaling pathway	regulates a function/process that happens in peritoneal macrophage		IMP		J:179457 	
MGI:2442359	Cd300lf	CD300 molecule like family member F	11		negative regulation of MyD88-dependent toll-like receptor signaling pathway			ISO	Q8TDQ1 	J:164563 	
MGI:2442359	Cd300lf	CD300 molecule like family member F	11		TRIF-dependent toll-like receptor signaling pathway			ISO	Q8TDQ1 	J:164563 	
MGI:109531	Cdc37	cell division cycle 37	9		regulation of interferon-gamma-mediated signaling pathway			ISO	Q16543 	J:107465 	
MGI:109531	Cdc37	cell division cycle 37	9		regulation of type I interferon-mediated signaling pathway			ISO	Q16543 	J:107465 	
MGI:106211	Cdc42	cell division cycle 42	4		cellular response to interferon-gamma			IDA		J:143718 	
MGI:1929744	Cdc42ep2	CDC42 effector protein (Rho GTPase binding) 2	19		cellular response to interferon-gamma			IDA		J:143718 	
MGI:1929760	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4	11		cellular response to interferon-gamma			IDA		J:143718 	
MGI:1095414	Cdh17	cadherin 17	4		germinal center B cell differentiation			IMP		J:96738 	
MGI:1095414	Cdh17	cadherin 17	4		marginal zone B cell differentiation			IMP		J:96738 	
MGI:1095414	Cdh17	cadherin 17	4	NOT	T cell mediated immunity			IMP		J:96738 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target			IMP		J:201200 	
MGI:104982	Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	7		immune response			IDA		J:58801 	
MGI:104982	Cebpg	CCAAT/enhancer binding protein (C/EBP), gamma	7		natural killer cell mediated cytotoxicity			IMP		J:58801 	
MGI:105975	Cfb	complement factor B	17		complement activation			ISO	RGD:2204 	J:155856 	
MGI:105975	Cfb	complement factor B	17		complement activation, alternative pathway			IMP	MGI:1861129 	J:42679 	
MGI:105975	Cfb	complement factor B	17		complement activation, alternative pathway			TAS		J:6989 	
MGI:105975	Cfb	complement factor B	17		innate immune response			IEA	KW-0399 	J:60000 	
MGI:87931	Cfd	complement factor D (adipsin)	10		complement activation, alternative pathway			IEA	IPR037561 	J:72247 	
MGI:87931	Cfd	complement factor D (adipsin)	10		complement activation, alternative pathway			IEA	KW-0179 	J:60000 	
MGI:87931	Cfd	complement factor D (adipsin)	10		innate immune response			IEA	KW-0399 	J:60000 	
MGI:88385	Cfh	complement component factor h	1		complement activation			ISO	P08603 	J:164563 	
MGI:88385	Cfh	complement component factor h	1		complement activation, alternative pathway			IEA	KW-0179 	J:60000 	
MGI:88385	Cfh	complement component factor h	1		innate immune response			IEA	KW-0399 	J:60000 	
MGI:88385	Cfh	complement component factor h	1		regulation of complement activation			IMP	MGI:2384179 	J:145047 	
MGI:88385	Cfh	complement component factor h	1		regulation of complement activation			ISO	RGD:620428 	J:155856 	
MGI:88385	Cfh	complement component factor h	1		regulation of complement activation			ISO	P08603 	J:218542 	
MGI:105937	Cfi	complement component factor i	3		complement activation, classical pathway			IEA	KW-0180 	J:60000 	
MGI:105937	Cfi	complement component factor i	3		innate immune response			IEA	KW-0399 	J:60000 	
MGI:97545	Cfp	complement factor properdin	X		complement activation, alternative pathway			IMP	MGI:3774548 	J:131526 	
MGI:97545	Cfp	complement factor properdin	X		innate immune response			IEA	KW-0399 	J:60000 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		activation of innate immune response			IBA	PTN002579681 	J:265628 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		activation of innate immune response			IDA		J:199863 J:243386 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		activation of innate immune response			IMP		J:196208 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		activation of innate immune response			ISO	Q8N884 	J:164563 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		innate immune response			IEA	KW-0399 	J:60000 	
MGI:2442261	Cgas	cyclic GMP-AMP synthase	9		regulation of immune response			IGI	MGI:1329019 	J:226998 	
MGI:88394	Chga	chromogranin A	12		mast cell cytokine production			ISO	P10645 	J:164563 	
MGI:88394	Chga	chromogranin A	12		mast cell degranulation			ISO	P10645 	J:164563 	
MGI:1932052	Chia1	chitinase, acidic 1	3		immune response			NAS		J:67724 	
MGI:1915288	Chid1	chitinase domain containing 1	7		innate immune response			IEA	KW-0399 	J:60000 	
MGI:108445	Ciita	class II transactivator	16		response to interferon-gamma			IDA		J:107465 	
MGI:108445	Ciita	class II transactivator	16		response to interferon-gamma			ISO	P33076 	J:164563 	
MGI:108023	Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	X		response to interferon-gamma			IDA		J:50846 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		positive regulation of isotype switching to IgE isotypes			IDA		J:133136 	
MGI:1930088	Clcf1	cardiotrophin-like cytokine factor 1	19		positive regulation of type 2 immune response			NAS		J:133136 	
MGI:2135589	Clec2d	C-type lectin domain family 2, member d	6		protection from natural killer cell mediated cytotoxicity			IDA		J:86948 J:89706 	
MGI:2135589	Clec2d	C-type lectin domain family 2, member d	6		protection from natural killer cell mediated cytotoxicity			IGI	MGI:107539 	J:150111 	
MGI:2136650	Clec2i	C-type lectin domain family 2, member i	6		T cell receptor signaling pathway			IMP		J:107956 	
MGI:1349412	Clec4a2	C-type lectin domain family 4, member a2	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1349412	Clec4a2	C-type lectin domain family 4, member a2	6		innate immune response			IEA	KW-0399 	J:60000 	
MGI:1298389	Clec4d	C-type lectin domain family 4, member d	6		adaptive immune response			IMP		J:203159 	
MGI:1298389	Clec4d	C-type lectin domain family 4, member d	6		Fc-gamma receptor signaling pathway			IDA		J:203159 	
MGI:1298389	Clec4d	C-type lectin domain family 4, member d	6		innate immune response			IMP		J:203159 	
MGI:1298389	Clec4d	C-type lectin domain family 4, member d	6		T cell differentiation involved in immune response			IMP		J:203159 	
MGI:1861232	Clec4e	C-type lectin domain family 4, member e	6		Fc-gamma receptor signaling pathway			IDA		J:203159 	
MGI:1861232	Clec4e	C-type lectin domain family 4, member e	6		immune response			IMP		J:172959 	
MGI:1861232	Clec4e	C-type lectin domain family 4, member e	6		innate immune response			IMP	MGI:5013826 	J:203159 	
MGI:1861232	Clec4e	C-type lectin domain family 4, member e	6		pattern recognition receptor signaling pathway			ISO	Q9ULY5 	J:164563 	
MGI:1861232	Clec4e	C-type lectin domain family 4, member e	6		T cell differentiation involved in immune response			IMP	MGI:5013826 	J:203159 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell mediated immunity			IDA		J:200968 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell mediated immunity	happens in liver,regulates a function/process that happens in liver		IMP	MGI:5510586 	J:194891 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell mediated immunity	regulates a function/process that happens in liver,happens in liver		IMP	MGI:5510586 	J:200968 	
MGI:1861231	Clec4n	C-type lectin domain family 4, member n	6		adaptive immune response			IEA	KW-1064 	J:60000 	
MGI:1861231	Clec4n	C-type lectin domain family 4, member n	6		innate immune response			IDA		J:168200 	
MGI:1345151	Clec5a	C-type lectin domain family 5, member a	6		innate immune response			IBA	PTN000514254 	J:265628 	
MGI:1345151	Clec5a	C-type lectin domain family 5, member a	6		innate immune response			IDA		J:172961 	
MGI:1345151	Clec5a	C-type lectin domain family 5, member a	6		innate immune response			ISO	Q9NY25 	J:164563 	
MGI:1861431	Clec7a	C-type lectin domain family 7, member a	6		cell surface pattern recognition receptor signaling pathway			IDA		J:89998 	
MGI:3040968	Clec12a	C-type lectin domain family 12, member a	6		regulation of immune response			ISO	AY498550 	J:89520 	
MGI:1918433	Clec12b	C-type lectin domain family 12, member B	6		natural killer cell inhibitory signaling pathway			IBA	PTN000514045 	J:265628 	
MGI:1918433	Clec12b	C-type lectin domain family 12, member B	6		natural killer cell inhibitory signaling pathway			ISO	Q2HXU8 	J:164563 	
MGI:1918433	Clec12b	C-type lectin domain family 12, member B	6		negative regulation of natural killer cell mediated cytotoxicity			ISO	Q2HXU8 	J:164563 	
MGI:1351468	Clnk	cytokine-dependent hematopoietic cell linker	5		positive regulation of natural killer cell cytokine production	happens in CD4-positive type I NK T cell		IMP		J:131738 	
MGI:109603	Cmklr1	chemokine-like receptor 1	5		complement receptor mediated signaling pathway			IBA	PTN001200752 	J:265628 	
MGI:2447162	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3	8		positive regulation of B cell receptor signaling pathway			IDA		J:91443 	
MGI:1298230	Cnot7	CCR4-NOT transcription complex, subunit 7	8		negative regulation of type I interferon-mediated signaling pathway			ISO	Q9UIV1 	J:164563 	
MGI:1919279	Cnpy3	canopy FGF signaling regulator 3	17		innate immune response			IEA	KW-0399 	J:60000 	
MGI:104615	Cnr1	cannabinoid receptor 1 (brain)	4		positive regulation of acute inflammatory response to antigenic stimulus			ISO	RGD:2369 	J:155856 	
MGI:1278313	Coch	cochlin	12		positive regulation of innate immune response		PR:000037266	IMP	MGI:3624560 	J:203149 	
MGI:88453	Col3a1	collagen, type III, alpha 1	1		negative regulation of immune response			ISO	P02461 	J:164563 	
MGI:1918943	Colec11	collectin sub-family member 11	12		antimicrobial humoral response			ISO	Q9BWP8 	J:164563 	
MGI:1918943	Colec11	collectin sub-family member 11	12		complement activation			ISO	Q9BWP8 	J:164563 	
